%
%  no - oznaczenie gwiazdy
%  V - jasno"s"c w filtrze V
%  I - jasno"s"c w filtrze I
%  err_V - b"l"ad jasno"sci V
%  N_V - ilo"s"c obserwacji w filtrze V
%  N_I - ilo"s"c obserwacji w filtrze I
%  x - wsp"o"lrz"edna x na obrazie CCD (po"lno"c to -x) 
%  y - wsp"o"lrz"edna y na obrazie CCD (wsch"od to +y)
%
%  no    V       I    err_V   N_V N_I     x       y 
%       mag     mag    mag               
%
  338 16.3356 14.9664 0.0009 1840 685  837.45 1147.09 
  339 16.4116 14.9798 0.0006 1824 678  379.94  675.48 
  340 16.4074 14.9661 0.0007 1811 682  612.83 1040.66 
  341 16.5725 14.9812 0.0007 1828 674  634.97  642.48 
  342 16.5119 14.9773 0.0008 1839 673  949.73 1090.52 
  343 16.4359 14.9700 0.0008 1769 676  619.37 1026.31 
  344 16.3582 14.9859 0.0007 1770 676  521.42  618.69 
  345 16.5099 14.9919 0.0008 1748 657  639.42  596.31 
  346 16.4053 14.9816 0.0008 1830 679  959.48  218.63 
  347 16.5296 15.0096 0.0007 1826 685  898.12  589.34 
  348 16.6073 15.0044 0.0011 1633 627  826.01  661.47 
  349 16.2597 15.0027 0.0007 1799 673  367.11   48.14 
  350 16.3988 15.0118 0.0007 1793 677  499.03  680.79 
  351 15.8773 14.9141 0.0020  510 142    1.66  271.76 
  352 16.4006 15.0244 0.0013 1704 650 1115.92   95.20 
  353 16.1377 15.0185 0.0011 1476 643  150.51   24.62 
  354 16.7024 15.0312 0.0010 1693 639  737.68  602.22 
  355 16.1521 15.0300 0.0006 1824 687  427.57  786.10 
  356 16.6317 15.0328 0.0007 1805 674  820.23  381.75 
  357 16.4225 15.0327 0.0006 1819 687  527.08  871.99 
  358 17.1286 15.0298 0.0009 1820 679  199.76  541.08 
  359 16.3157 15.0479 0.0010 1839 674 1085.31  199.50 
  360 16.7502 15.0387 0.0008 1814 681  271.85  938.94 
  361 16.6280 15.0430 0.0007 1828 662  572.93  674.35 
  362 16.5494 15.0552 0.0015 1809 654   98.43 1178.27 
  363 16.2868 15.0646 0.0008 1835 669   28.60  482.43 
  364 16.4387 15.0683 0.0008 1852 682  172.53  489.19 
  365 16.5122 15.0628 0.0007 1827 674  815.11  927.29 
  366 17.1327 15.0659 0.0009 1799 673  679.05  661.08 
  367 16.5672 15.0727 0.0009 1717 626  445.60  724.05 
  368 16.6239 15.0710 0.0007 1783 671  413.54  851.98 
  370 16.6374 15.0546 0.0028 1461 599  602.92  621.11 
  371 16.9121 15.0740 0.0012 1668 638  464.68  712.81 
  372 16.3801 15.0945 0.0006 1824 686  352.19  671.54 
  373 16.4148 15.1017 0.0009 1712 658  121.69  555.65 
  375 16.6826 15.0867 0.0007 1830 688  515.99  917.85 
  376 16.4358 15.0919 0.0006 1828 671  220.63  285.35 
  377 16.6409 15.0914 0.0007 1819 683  566.66  715.40 
  378 16.6154 15.0839 0.0007 1827 675  512.21  618.30 
  379 16.4726 15.1032 0.0008 1791 676  534.53  493.70 
  380 16.5661 14.9959 0.0058  993 394    7.80 1128.20 
  381 16.4823 15.1056 0.0011 1590 617  586.58  495.14 
  382 16.5326 15.1110 0.0008 1779 660  538.65  670.05 
  383 16.7014 15.1070 0.0007 1819 680  628.72  752.20 
  384 16.5711 15.1083 0.0009 1750 664  857.58  213.74 
  385 16.6017 15.1626 0.0011 1786 678  929.93  820.65 
  386 16.4094 15.1253 0.0009 1833 675  100.53  736.54 
  387 16.4947 15.1136 0.0007 1818 676  156.68  372.05 
  388 16.4487 15.1062 0.0013 1704 621 1105.46  186.77 
  389 16.5199 15.1094 0.0007 1638 677  502.51  626.92 
  390 16.3965 15.1199 0.0008 1772 673  412.10   37.60 
  391 16.5309 15.1350 0.0008 1720 660  371.19  421.04 
  392 16.5539 15.1350 0.0011 1645 643  525.78  587.78 
  393 16.5292 15.1497 0.0008 1808 683  610.06  495.63 
